Index,O,N,Specific surface area,Pore volume,Rmic/mes,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,target,Dopants
216.0,8.06,0.0,1020.0,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,15.0,91.3,0
217.0,8.06,0.0,1020.0,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,20.0,85.5,0
218.0,9.3,0.0,950.0,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,0.5,108.2,0
219.0,9.3,0.0,950.0,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,1.0,96.6,0
220.0,9.3,0.0,950.0,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,2.0,86.9,0
221.0,9.3,0.0,950.0,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,3.0,82.0,0
222.0,9.3,0.0,950.0,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,4.0,78.7,0
223.0,9.3,0.0,950.0,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,5.0,75.2,0
224.0,9.3,0.0,950.0,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,7.0,72.0,0
225.0,9.3,0.0,950.0,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,10.0,67.1,0
226.0,9.3,0.0,950.0,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,15.0,60.5,0
227.0,9.3,0.0,950.0,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,20.0,57.0,0
237.0,6.99,1.59,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2.0,1.8,0.05,108.5,0
238.0,6.99,1.59,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2.0,1.8,0.1,85.9,0
239.0,6.99,1.59,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2.0,1.8,0.2,73.1,0
240.0,6.99,1.59,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2.0,1.8,0.3,68.7,0
241.0,6.99,1.59,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2.0,1.8,0.5,65.0,0
242.0,6.99,1.59,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2.0,1.8,1.0,60.8,0
243.0,6.99,1.59,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2.0,1.8,2.0,55.3,0
244.0,6.99,1.59,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2.0,1.8,3.0,52.7,0
245.0,6.99,1.59,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2.0,1.8,5.0,49.2,0
246.0,6.99,1.59,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2.0,1.8,10.0,44.5,0
247.0,6.99,1.59,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2.0,1.8,15.0,41.6,0
248.0,6.99,1.59,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2.0,1.8,20.0,41.6,0
249.0,7.87,1.93,3082.0,1.42,1.152,1.72,2M ZnSO4,stainless-steel mesh,1.5,1.6,0.2,142.7,1
250.0,7.87,1.93,3082.0,1.42,1.152,1.72,2M ZnSO4,stainless-steel mesh,1.5,1.6,0.5,125.0,1
251.0,7.87,1.93,3082.0,1.42,1.152,1.72,2M ZnSO4,stainless-steel mesh,1.5,1.6,1.0,109.6,1
252.0,7.87,1.93,3082.0,1.42,1.152,1.72,2M ZnSO4,stainless-steel mesh,1.5,1.6,2.0,97.2,1
253.0,7.87,1.93,3082.0,1.42,1.152,1.72,2M ZnSO4,stainless-steel mesh,1.5,1.6,3.0,89.9,1
254.0,7.87,1.93,3082.0,1.42,1.152,1.72,2M ZnSO4,stainless-steel mesh,1.5,1.6,5.0,82.7,1
255.0,3.9,9.7,844.0,0.41,3.419,0.99,1M ZnSO4,freestanding,1.0,2.0,0.1,189.4,0
256.0,3.9,9.7,844.0,0.41,3.419,0.99,1M ZnSO4,freestanding,1.0,2.0,0.2,154.5,0
257.0,3.9,9.7,844.0,0.41,3.419,0.99,1M ZnSO4,freestanding,1.0,2.0,0.5,131.5,0
258.0,3.9,9.7,844.0,0.41,3.419,0.99,1M ZnSO4,freestanding,1.0,2.0,1.0,130.4,0
259.0,3.9,9.7,844.0,0.41,3.419,0.99,1M ZnSO4,freestanding,1.0,2.0,2.0,117.9,0
260.0,3.9,9.7,844.0,0.41,3.419,0.99,1M ZnSO4,freestanding,1.0,2.0,3.0,112.3,0
261.0,3.9,9.7,844.0,0.41,3.419,0.99,1M ZnSO4,freestanding,1.0,2.0,4.0,107.7,0
262.0,3.9,9.7,844.0,0.41,3.419,0.99,1M ZnSO4,freestanding,1.0,2.0,5.0,104.9,0
263.0,3.9,9.7,844.0,0.41,3.419,0.99,1M ZnSO4,freestanding,1.0,2.0,7.0,102.2,0
264.0,3.9,9.7,844.0,0.41,3.419,0.99,1M ZnSO4,freestanding,1.0,2.0,10.0,100.3,0
281.0,4.81,1.09,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,0.2,104.9,0
282.0,4.81,1.09,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,0.5,91.0,0
283.0,4.81,1.09,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,1.0,84.9,0
284.0,4.81,1.09,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,2.0,78.2,0
285.0,4.81,1.09,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,3.0,74.2,0
286.0,4.81,1.09,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,4.0,70.8,0
287.0,4.81,1.09,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,5.0,68.5,0
288.0,4.81,1.09,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,10.0,60.3,0
289.0,4.81,1.09,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,15.0,56.5,0
